play_date_iso,song_title,album_release_date_iso,played,years_since_release,catalog_size_at_play_date,pct_played_prior
1973-01-07,"4th of July, Asbury Park (Sandy)",1973-01-01,0,0.02,16,0.00
1973-01-07,Blinded by the Light,1973-01-01,0,0.02,16,0.00
1973-01-07,Does This Bus Stop at 82nd Street?,1973-01-01,0,0.02,16,0.00
1973-01-07,For You,1973-01-01,0,0.02,16,0.00
1973-01-07,Growin’ Up,1973-01-01,0,0.02,16,0.00
1973-01-07,Incident on 57th Street,1973-01-01,0,0.02,16,0.00
1973-01-07,It’s Hard to Be a Saint in the City,1973-01-01,1,0.02,16,0.00
1973-01-07,Kitty’s Back,1973-01-01,0,0.02,16,0.00
1973-01-07,Lost in the Flood,1973-01-01,0,0.02,16,0.00
1973-01-07,Mary Queen of Arkansas,1973-01-01,0,0.02,16,0.00
1973-01-07,New York City Serenade,1973-01-01,1,0.02,16,0.00
1973-01-07,Rosalita (Come Out Tonight),1973-01-01,0,0.02,16,0.00
1973-01-07,Spirit in the Night,1973-01-01,0,0.02,16,0.00
1973-01-07,The Angel,1973-01-01,0,0.02,16,0.00
1973-01-07,The E Street Shuffle,1973-01-01,0,0.02,16,0.00
1973-01-07,Wild Billy’s Circus Story,1973-01-01,0,0.02,16,0.00
1973-01-09,"4th of July, Asbury Park (Sandy)",1973-01-01,0,0.02,16,0.00
1973-01-09,Blinded by the Light,1973-01-01,1,0.02,16,0.00
1973-01-09,Does This Bus Stop at 82nd Street?,1973-01-01,1,0.02,16,0.00
1973-01-09,For You,1973-01-01,0,0.02,16,0.00
1973-01-09,Growin’ Up,1973-01-01,0,0.02,16,0.00
1973-01-09,Incident on 57th Street,1973-01-01,0,0.02,16,0.00
1973-01-09,It’s Hard to Be a Saint in the City,1973-01-01,0,0.02,16,100.00
1973-01-09,Kitty’s Back,1973-01-01,0,0.02,16,0.00
1973-01-09,Lost in the Flood,1973-01-01,0,0.02,16,0.00
1973-01-09,Mary Queen of Arkansas,1973-01-01,0,0.02,16,0.00
1973-01-09,New York City Serenade,1973-01-01,0,0.02,16,100.00
1973-01-09,Rosalita (Come Out Tonight),1973-01-01,0,0.02,16,0.00
1973-01-09,Spirit in the Night,1973-01-01,0,0.02,16,0.00
1973-01-09,The Angel,1973-01-01,0,0.02,16,0.00
1973-01-09,The E Street Shuffle,1973-01-01,0,0.02,16,0.00
1973-01-09,Wild Billy’s Circus Story,1973-01-01,1,0.02,16,0.00
1973-01-10,"4th of July, Asbury Park (Sandy)",1973-01-01,0,0.02,16,0.00
1973-01-10,Blinded by the Light,1973-01-01,0,0.02,16,50.00
1973-01-10,Does This Bus Stop at 82nd Street?,1973-01-01,0,0.02,16,50.00
1973-01-10,For You,1973-01-01,0,0.02,16,0.00
1973-01-10,Growin’ Up,1973-01-01,0,0.02,16,0.00
1973-01-10,Incident on 57th Street,1973-01-01,0,0.02,16,0.00
1973-01-10,It’s Hard to Be a Saint in the City,1973-01-01,0,0.02,16,50.00
1973-01-10,Kitty’s Back,1973-01-01,0,0.02,16,0.00
1973-01-10,Lost in the Flood,1973-01-01,0,0.02,16,0.00
1973-01-10,Mary Queen of Arkansas,1973-01-01,0,0.02,16,0.00
1973-01-10,New York City Serenade,1973-01-01,0,0.02,16,50.00
1973-01-10,Rosalita (Come Out Tonight),1973-01-01,0,0.02,16,0.00
1973-01-10,Spirit in the Night,1973-01-01,0,0.02,16,0.00
1973-01-10,The Angel,1973-01-01,0,0.02,16,0.00
1973-01-10,The E Street Shuffle,1973-01-01,0,0.02,16,0.00
1973-01-10,Wild Billy’s Circus Story,1973-01-01,1,0.02,16,50.00
1973-01-31,"4th of July, Asbury Park (Sandy)",1973-01-01,0,0.08,16,0.00
1973-01-31,Blinded by the Light,1973-01-01,0,0.08,16,33.33
1973-01-31,Does This Bus Stop at 82nd Street?,1973-01-01,1,0.08,16,33.33
1973-01-31,For You,1973-01-01,0,0.08,16,0.00
1973-01-31,Growin’ Up,1973-01-01,0,0.08,16,0.00
1973-01-31,Incident on 57th Street,1973-01-01,0,0.08,16,0.00
1973-01-31,It’s Hard to Be a Saint in the City,1973-01-01,0,0.08,16,33.33
1973-01-31,Kitty’s Back,1973-01-01,0,0.08,16,0.00
1973-01-31,Lost in the Flood,1973-01-01,0,0.08,16,0.00
1973-01-31,Mary Queen of Arkansas,1973-01-01,1,0.08,16,0.00
1973-01-31,New York City Serenade,1973-01-01,0,0.08,16,33.33
1973-01-31,Rosalita (Come Out Tonight),1973-01-01,0,0.08,16,0.00
1973-01-31,Spirit in the Night,1973-01-01,1,0.08,16,0.00
1973-01-31,The Angel,1973-01-01,0,0.08,16,0.00
1973-01-31,The E Street Shuffle,1973-01-01,0,0.08,16,0.00
1973-01-31,Wild Billy’s Circus Story,1973-01-01,1,0.08,16,66.67
1973-02-01,"4th of July, Asbury Park (Sandy)",1973-01-01,0,0.08,16,0.00
